BJD - 2454833, Corrected Flux
2320.994805995, 0.993333368,
2321.015237849, 0.993257951,
2321.035669804, 0.993198184,
2321.056101557, 0.993324231,
2321.076533511, 0.993272508,
2321.096965364, 0.993676992,
2321.117397217, 0.993350079,
2321.137829070, 0.993548809,
2321.158260922, 0.993071524,
2321.178692774, 0.993580082,
2321.199124626, 0.993356704,
2321.219556478, 0.993481577,
2321.239988329, 0.993599831,
2321.280852030, 0.993985985,
2321.301283880, 0.993860782,
2321.321715830, 0.993882889,
2321.342147580, 0.993626521,
2321.362579430, 0.993660087,
2321.383011279, 0.993605619,
2321.403443127, 0.993947895,
2321.423874876, 0.993988641,
2321.444306824, 0.993548906,
2321.464738672, 0.993430262,
2321.485170620, 0.993241529,
2321.505602367, 0.993441898,
2321.526034214, 0.993414197,
2321.546466161, 0.993358171,
2321.566897907, 0.993514858,
2321.587329753, 0.993565888,
2321.607761699, 0.993952111,
2321.628193545, 0.993674194,
2321.648625290, 0.993760040,
2321.669057235, 0.993116273,
2321.689489079, 0.993249969,
2321.709920824, 0.993466806,
2321.730352768, 0.993567932,
2321.771216355, 0.994022290,
2321.791648298, 0.993945714,
2321.812080141, 0.994099360,
2321.832511883, 0.993717377,
2321.852943826, 0.994239655,
2321.873375668, 0.993697046,
2321.893807609, 0.993847370,
2321.914239351, 0.993989432,
2321.934671192, 0.993854642,
2321.955103133, 0.994282736,
2321.975534873, 0.994211966,
2321.995966713, 0.994027290,
2322.016398653, 0.993956094,
2322.036830393, 0.993789596,
2322.057262232, 0.993711737,
2322.077694071, 0.993905171,
2322.098125910, 0.993786831,
2322.118557749, 0.993515956,
2322.138989687, 0.993987528,
2322.159421425, 0.993956906,
2322.179853262, 0.993990137,
2322.200285200, 0.994211619,
2322.220716937, 0.994122387,
2322.261580710, 0.993970361,
2322.282012446, 0.994020870,
2322.302444382, 0.993816792,
2322.322876217, 0.993771143,
2322.343307953, 0.993916677,
2322.363739888, 0.993460668,
2322.384171722, 0.993721758,
2322.404603457, 0.993359226,
2322.425035391, 0.993289862,
2322.445467225, 0.993535051,
2322.465899058, 0.993778442,
2322.486330892, 0.993824313,
2322.506762725, 0.993637568,
2322.527194557, 0.993941569,
2322.547626390, 0.993774333,
2322.568058222, 0.994175420,
2322.588490054, 0.993743977,
2322.608921985, 0.994187425,
2322.629353717, 0.993978130,
2322.649785648, 0.994041014,
2322.670217478, 0.993943540,
2322.690649209, 0.993970942,
2322.711081139, 0.993802070,
2322.751944698, 0.993827283,
2322.772376627, 0.993970946,
2322.792808357, 0.993811721,
2322.813240185, 0.994037291,
2322.833672114, 0.993724710,
2322.854103842, 0.994023612,
2322.874535670, 0.993839066,
2322.894967597, 0.993566258,
2322.915399325, 0.993994928,
2322.935831152, 0.993717281,
2322.956263078, 0.993837905,
2322.976694905, 0.994017230,
2322.997126631, 0.994122783,
2323.017558557, 0.994116707,
2323.037990383, 0.994219171,
2323.058422208, 0.994150043,
2323.078854033, 0.994045139,
2323.099285857, 0.994203440,
2323.119717682, 0.994169146,
2323.140149506, 0.994138102,
2323.160581330, 0.994212318,
2323.181013254, 0.993965276,
2323.201444977, 0.994291108,
2323.242308723, 0.994319231,
2323.262740446, 0.994067006,
2323.283172268, 0.993722802,
2323.303604190, 0.994084358,
2323.324035912, 0.993777873,
2323.344467733, 0.994075278,
2323.364899654, 0.993868723,
2323.385331375, 0.994055890,
2323.405763196, 0.994277442,
2323.426195116, 0.994195883,
2323.446626936, 0.994244734,
2323.467058756, 0.994155551,
2323.487490575, 0.994232784,
2323.507922294, 0.994230511,
2323.528354213, 0.994167230,
2323.548786032, 0.994211007,
2323.569217750, 0.994361865,
2323.589649668, 0.994067378,
2323.610081486, 0.993955955,
2323.630513204, 0.993936482,
2323.650945121, 0.994052450,
2323.671376938, 0.994121339,
2323.691808655, 0.993932511,
2323.732672387, 0.994286636,
2323.753104103, 0.993918766,
2323.773536019, 0.994076323,
2323.814399749, 0.994154534,
2323.834831464, 0.993980088,
2323.855263279, 0.993940760,
